student_id,school_type,family_income
S1000,Private,Medium
S1001,Private,Low
S1002,Private,Low
S1003,Public,Low
S1004,Private,Low
S1005,Public,High
S1006,Private,Medium
S1007,Public,Low
S1008,International,Low
S1009,International,Low
S1010,Private,High
S1011,Private,Medium
S1012,International,High
S1013,International,Medium
S1014,Private,Medium
S1015,Public,High
S1016,International,Medium
S1017,Private,High
S1018,Public,Medium
S1019,Private,High
S1020,International,Medium
S1021,International,High
S1022,Private,Low
S1023,Public,Low
S1024,International,High
S1025,Public,High
S1026,International,High
S1027,Public,High
S1028,International,Low
S1029,Private,Low
S1030,International,High
S1031,International,High
S1032,Private,Low
S1033,International,High
S1034,Public,High
S1035,Public,High
S1036,Private,Low
S1037,International,High
S1038,International,Low
S1039,Public,Low
S1040,International,High
S1041,Public,High
S1042,International,Medium
S1043,International,High
S1044,Private,High
S1045,International,Low
S1046,Private,Low
S1047,Private,High
S1048,International,High
S1049,Public,Low
S1050,International,Low
S1051,International,Medium
S1052,Private,Medium
S1053,International,Medium
S1054,International,Low
S1055,Public,Low
S1056,Private,Medium
S1057,Public,Low
S1058,Private,Low
S1059,International,High
S1060,Public,Medium
S1061,Private,Low
S1062,International,High
S1063,Private,High
S1064,Public,Low
S1065,Public,High
S1066,International,High
S1067,Public,Low
S1068,International,Medium
S1069,International,Medium
S1070,International,High
S1071,Private,Medium
S1072,Private,Low
S1073,Private,Low
S1074,Private,High
S1075,International,Low
S1076,Private,Medium
S1077,Public,Low
S1078,International,High
S1079,International,High
S1080,International,Medium
S1081,International,High
S1082,Private,Low
S1083,Private,Low
S1084,Public,Medium
S1085,International,Medium
S1086,Public,Medium
S1087,Public,Medium
S1088,Public,High
S1089,Private,Medium
S1090,International,High
S1091,Public,High
S1092,International,Low
S1093,International,Medium
S1094,Private,High
S1095,International,Low
S1096,International,High
S1097,Private,Medium
S1098,International,High
S1099,Public,Medium
S1100,Private,Medium
S1101,International,Medium
S1102,Private,Medium
S1103,Public,High
S1104,Private,Low
S1105,Private,Medium
S1106,International,Low
S1107,Public,Low
S1108,Private,Medium
S1109,International,Low
S1110,Private,Low
S1111,Public,Low
S1112,International,Medium
S1113,Public,Medium
S1114,Public,Low
S1115,Private,High
S1116,Private,Medium
S1117,Public,High
S1118,Public,Medium
S1119,Private,Medium
S1120,Private,Medium
S1121,Private,Low
S1122,Private,Medium
S1123,Private,Low
S1124,International,Low
S1125,Private,Medium
S1126,Public,Low
S1127,Private,Low
S1128,Private,Low
S1129,International,Low
S1130,Public,Medium
S1131,Private,Medium
S1132,Private,Medium
S1133,Private,Medium
S1134,Public,Low
S1135,Private,High
S1136,Public,Low
S1137,Public,Medium
S1138,Public,High
S1139,International,Low
S1140,International,Low
S1141,Private,Low
S1142,Private,Low
S1143,International,Medium
S1144,Private,Low
S1145,International,High
S1146,Private,Medium
S1147,International,Medium
S1148,Private,Low
S1149,Public,High
S1150,International,Medium
S1151,Private,Low
S1152,Public,High
S1153,International,High
S1154,Public,Low
S1155,International,Medium
S1156,Public,Medium
S1157,International,Medium
S1158,International,High
S1159,Public,High
S1160,International,High
S1161,Private,Low
S1162,International,High
S1163,International,Low
S1164,Private,Medium
S1165,International,Low
S1166,International,High
S1167,Public,High
S1168,International,Medium
S1169,International,High
S1170,Public,High
S1171,Private,Medium
S1172,International,Low
S1173,International,Low
S1174,Public,Medium
S1175,Private,Low
S1176,International,Low
S1177,Public,Low
S1178,International,Low
S1179,Private,High
S1180,Private,High
S1181,Private,Low
S1182,Private,High
S1183,Public,Medium
S1184,Private,Low
S1185,Public,Medium
S1186,Public,Low
S1187,Public,High
S1188,International,Low
S1189,Public,High
S1190,Private,High
S1191,Private,Low
S1192,Private,Low
S1193,International,Medium
S1194,International,Low
S1195,Private,Low
S1196,Private,Low
S1197,International,Low
S1198,Private,Medium
S1199,International,Medium
S1200,International,Low
S1201,Private,Low
S1202,International,Medium
S1203,Public,Medium
S1204,International,Low
S1205,International,High
S1206,International,Low
S1207,International,Medium
S1208,Public,Medium
S1209,International,Low
S1210,International,Low
S1211,Public,High
S1212,Private,High
S1213,Public,Low
S1214,Private,Low
S1215,Public,Low
S1216,Public,Low
S1217,Public,Medium
S1218,Public,High
S1219,International,Medium
S1220,International,Medium
S1221,Public,High
S1222,Private,Low
S1223,International,Low
S1224,Private,Low
S1225,Public,Medium
S1226,Private,Medium
S1227,Public,Medium
S1228,International,Low
S1229,International,Medium
S1230,International,High
S1231,International,Low
S1232,Public,High
S1233,Public,Low
S1234,Public,Medium
S1235,Public,Medium
S1236,Public,Low
S1237,Private,High
S1238,Public,High
S1239,International,Medium
S1240,Public,Low
S1241,Public,High
S1242,Public,High
S1243,Private,Medium
S1244,Private,High
S1245,Public,Low
S1246,Public,Low
S1247,Public,Low
S1248,Private,High
S1249,International,High
S1250,Private,High
S1251,International,Low
S1252,Public,Low
S1253,Public,High
S1254,Private,Low
S1255,International,Medium
S1256,Public,Low
S1257,Public,Low
S1258,International,Medium
S1259,Private,Low
S1260,Private,Low
S1261,International,High
S1262,Public,High
S1263,Public,Medium
S1264,Private,Medium
S1265,International,Low
S1266,International,High
S1267,Private,Medium
S1268,International,Low
S1269,Public,Low
S1270,Private,Low
S1271,Public,Low
S1272,Public,Medium
S1273,Public,Medium
S1274,International,High
S1275,Private,High
S1276,Public,Medium
S1277,Private,Medium
S1278,International,Low
S1279,Private,High
S1280,Private,Low
S1281,Private,Low
S1282,Public,Low
S1283,Public,Medium
S1284,Public,Low
S1285,International,Low
S1286,International,High
S1287,Public,Medium
S1288,International,Low
S1289,Private,Medium
S1290,Public,High
S1291,Public,Low
S1292,Public,Medium
S1293,International,Medium
S1294,Public,Low
S1295,International,High
S1296,Private,Medium
S1297,Private,Low
S1298,Private,Medium
S1299,Private,High
S1300,Public,Medium
S1301,International,High
S1302,International,High
S1303,Private,High
S1304,Public,Medium
S1305,International,Low
S1306,Private,Medium
S1307,Public,Low
S1308,Private,Medium
S1309,Private,Medium
